temperature_average (c);gravity_average (m/s2);velocity_average (m/s);period_average (s);samples;datetime_start (utc);datetime_end (utc);data_t_corrected;country;city;university;lat;long;alt
19.214843749999993;9.7666429296875;25.723084421874997;3.3735333640625;64;2022-01-14 21:00:33.892171+00:00;2022-01-14 21:04:06.421599+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.1659375;9.766495060937498;25.73280245000001;3.37355891875;64;2022-01-14 21:12:34.894610+00:00;2022-01-14 21:16:07.428411+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.1890625;9.766600623437501;25.726869078125;3.3735406703124995;64;2022-01-14 21:24:33.936043+00:00;2022-01-14 21:28:06.464947+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.180156249999992;9.766509470312506;25.752342310937504;3.373556415625;64;2022-01-14 21:36:34.949709+00:00;2022-01-14 21:40:07.484199+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.161406249999995;9.766630912499997;25.685329998437492;3.3735353906250003;64;2022-01-14 21:48:33.970861+00:00;2022-01-14 21:52:06.490025+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.175625000000004;9.76654248125;25.709469256249992;3.373550706250001;64;2022-01-14 22:00:34.944750+00:00;2022-01-14 22:04:07.479819+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.183281250000007;9.766744959375;25.695528921875002;3.3735157734375014;64;2022-01-14 22:12:33.944373+00:00;2022-01-14 22:16:06.475073+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.16296875;9.766586139062499;25.667465209374992;3.373543379687499;64;2022-01-14 22:24:34.908644+00:00;2022-01-14 22:28:07.438957+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.162968749999994;9.766716253125006;25.6883707671875;3.3735208703125;64;2022-01-14 22:36:33.894249+00:00;2022-01-14 22:40:06.422923+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.185781249999998;9.766599296875002;25.675508196875008;3.3735409562499994;64;2022-01-14 22:48:34.881131+00:00;2022-01-14 22:52:07.415817+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.168906250000003;9.766735362500004;25.678141953124996;3.3735174796875;64;2022-01-14 23:00:33.889993+00:00;2022-01-14 23:04:06.418383+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.171562499999997;9.7665901828125;25.696185474999993;3.373542406249999;64;2022-01-14 23:12:34.878037+00:00;2022-01-14 23:16:07.403304+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.16828125;9.766729965624998;25.679093687499993;3.3735182781250006;64;2022-01-14 23:24:33.941589+00:00;2022-01-14 23:28:06.447656+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.166874999999997;9.766652042187493;25.763026773437506;3.3735317921875008;64;2022-01-14 23:36:34.908253+00:00;2022-01-14 23:40:07.442534+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.191562500000003;9.766748329687497;25.69751816562502;3.373515146874999;64;2022-01-14 23:48:33.928849+00:00;2022-01-14 23:52:06.467422+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.1796875;9.766627765625;25.724070362500004;3.3735360234374987;64;2022-01-15 00:00:34.930855+00:00;2022-01-15 00:04:07.458774+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.174843749999997;9.766780734374994;25.688220915625;3.3735095328125;64;2022-01-15 00:12:33.927456+00:00;2022-01-15 00:16:06.461395+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.180781250000003;9.766626953125;25.715012459375004;3.3735361;64;2022-01-15 00:24:34.932286+00:00;2022-01-15 00:28:07.462805+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.17359375;9.7667930171875;25.681381910937507;3.3735073874999997;64;2022-01-15 00:36:33.935179+00:00;2022-01-15 00:40:06.466104+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.130468750000002;9.76664334375;25.724907462499992;3.373533317187501;64;2022-01-15 00:48:34.942403+00:00;2022-01-15 00:52:07.472913+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.1328125;9.766767868750001;25.682434349999998;3.373511734375;64;2022-01-15 01:00:33.939070+00:00;2022-01-15 01:04:06.470122+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.132656250000007;9.7666519296875;25.694540946874998;3.3735317734375023;64;2022-01-15 01:12:34.943328+00:00;2022-01-15 01:16:07.475332+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.113593750000007;9.766752223437502;25.689742984375;3.3735144453125017;64;2022-01-15 01:24:33.930070+00:00;2022-01-15 01:28:06.462346+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.110156250000006;9.766785114062497;25.754017264062508;3.3735085390624993;64;2022-01-15 01:36:34.931337+00:00;2022-01-15 01:40:07.461991+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.105468750000007;9.766785015624999;25.7453824625;3.373508637499998;64;2022-01-15 01:48:33.925874+00:00;2022-01-15 01:52:06.456546+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.097500000000004;9.766684175000002;25.771148950000004;3.3735262062500007;64;2022-01-15 02:00:34.931298+00:00;2022-01-15 02:04:07.462203+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.096562500000008;9.766785637500004;25.7629343890625;3.373508448437501;64;2022-01-15 02:12:33.925117+00:00;2022-01-15 02:16:06.454120+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.09500000000001;9.766631412500002;25.75331935;3.3735353687500016;64;2022-01-15 02:24:34.960372+00:00;2022-01-15 02:28:07.489255+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.09406250000001;9.766738626562498;25.70756756874999;3.3735168140624996;64;2022-01-15 02:36:33.960074+00:00;2022-01-15 02:40:06.493337+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.09843750000001;9.766724912499999;25.788050154687497;3.373519203124998;64;2022-01-15 02:48:34.981220+00:00;2022-01-15 02:52:07.508461+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.07859375000001;9.766753989062499;25.754128254687494;3.3735141468750003;64;2022-01-15 03:00:33.971681+00:00;2022-01-15 03:04:06.504861+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.088281250000016;9.766620365624997;25.76280662812501;3.373537274999999;64;2022-01-15 03:12:34.988642+00:00;2022-01-15 03:16:07.524651+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.095468750000006;9.766723621874998;25.729805865625;3.373519390624999;64;2022-01-15 03:24:33.903380+00:00;2022-01-15 03:28:06.438283+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.09968750000001;9.766624707812499;25.7994776359375;3.373536518749999;64;2022-01-15 03:36:34.917411+00:00;2022-01-15 03:40:07.443859+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.100000000000012;9.766765501562501;25.740104410937498;3.3735121875000007;64;2022-01-15 03:48:33.887440+00:00;2022-01-15 03:52:06.404755+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.08765625000001;9.766749145312508;25.7715347703125;3.3735147640624996;64;2022-01-15 04:00:34.873158+00:00;2022-01-15 04:04:07.436601+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.097500000000007;9.766735387499995;25.773238120312502;3.3735171421874997;64;2022-01-15 04:12:33.918863+00:00;2022-01-15 04:16:06.448338+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.104375000000008;9.766618131249999;25.779111414062502;3.3735376562500003;64;2022-01-15 04:24:34.986519+00:00;2022-01-15 04:28:07.515644+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.06703125000001;9.76674938125;25.7400256671875;3.3735149734375014;64;2022-01-15 04:36:33.972458+00:00;2022-01-15 04:40:06.506660+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.074531250000014;9.766608884375001;25.754678246875;3.3735392765625;64;2022-01-15 04:48:34.978247+00:00;2022-01-15 04:52:07.514577+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.054531250000014;9.766743479687499;25.774964390625005;3.3735158484374987;64;2022-01-15 05:00:33.981889+00:00;2022-01-15 05:04:06.508852+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.05171875000001;9.766743643749999;25.772625795312504;3.3735157125000006;64;2022-01-15 05:12:34.988026+00:00;2022-01-15 05:16:07.522924+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.042187500000004;9.766743881250001;25.7759717984375;3.3735156624999996;64;2022-01-15 05:24:33.926802+00:00;2022-01-15 05:28:06.466448+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.041875000000008;9.76677751875;25.788485042187496;3.3735098359375;64;2022-01-15 05:36:34.922927+00:00;2022-01-15 05:40:07.450983+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.037499999999998;9.766742826562503;25.790446579687497;3.373515853125001;64;2022-01-15 05:48:33.892562+00:00;2022-01-15 05:52:06.439096+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.019531249999993;9.766790142187505;25.739138426562498;3.373507959375;64;2022-01-15 06:00:34.933382+00:00;2022-01-15 06:04:07.459997+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.015468749999993;9.766605931249998;25.765904065625;3.3735397453125007;64;2022-01-15 06:12:33.929790+00:00;2022-01-15 06:16:06.462326+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.02171874999998;9.766735628124996;25.74766260781249;3.373517359375;64;2022-01-15 06:24:34.985165+00:00;2022-01-15 06:28:07.512222+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.007499999999983;9.766663270312497;25.767685232812504;3.3735298765624995;64;2022-01-15 06:36:33.992666+00:00;2022-01-15 06:40:06.524775+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.00484374999999;9.7667354375;25.736872968750003;3.3735173875;64;2022-01-15 06:48:35.013235+00:00;2022-01-15 06:52:07.533457+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
